"Comment ID","Timestamp GMT",Author,"Author email","Author URL",Type,Parent,Comment
975,2006-11-06T11:24:00+00:00,alf,,,comment,0,"The first couple of those are due to the theme – I’m using Tangerine, and it has close buttons in all the right places. So does Ubuntu’s Human Firefox theme."
976,2006-11-06T13:09:00+00:00,"Aristotle Pagaltzis",,,comment,0,"*highlight text, right-click, search uses the selected Search Box engine, not Google*

IMO that’s a good default. Power users want SmartSearch anyway. 🙂

I agree with the rest."
977,2006-11-06T15:06:00+00:00,Pip,,,comment,0,"OK, well, it doesn’t match up with my usage anyway. I leave the search box on my work search engine, and rarely change it, but I almost always want to search the web when I select and context-click a word/phrase. bah!"
