"Comment ID","Timestamp GMT",Author,"Author email","Author URL",Type,Parent,Comment
231,2004-12-29T10:32:00+00:00,Anonymous,,,comment,0,"Taking Seth’s work and plugging it into foafnaut would be a piece of cake. As it’s a closed flickr system, no crawling or caching or whatever needs to be done. You can live scrape the data each time (well, with intelligent caching).

All it would really take is tailoring foafnaut code to understand the RDF in that doc, really shouldn’t take too long, maybe I’ll find the time soon. I think it would be pretty slow though with the two proxies before it got to the data, I guess caching would help with that…"
232,2004-12-30T11:37:00+00:00,Pip,,,comment,0,"Yes, the speed of rendering was why I would spider and cache the FOAF."
