"Comment ID","Timestamp GMT",Author,"Author email","Author URL",Type,Parent,Comment
920,2006-08-29T17:50:00+00:00,PeWu,,,comment,0,"Hi,

I posted a comment regarding JTextile. I don’t know if you read it because it’s not in the comments but here: [http://www.blogger.com/comment.g?blogID=9993004&amp;postID=114125803511440839](http://www.blogger.com/comment.g?blogID=9993004&postID=114125803511440839)

Przemek"
921,2006-08-29T19:38:00+00:00,Pip,,,comment,0,"Hi Przemek, something’s up with Blogger’s comment publishing I think.

I replied on that comment, the gist of which was “I will be doing that soon when I move it to sourceforge on <http://sourceforge.net/projects/jtextile>“

Cheers."
