"Comment ID","Timestamp GMT",Author,"Author email","Author URL",Type,Parent,Comment
1044,2007-01-30T01:40:00+00:00,Anonymous,,,comment,0,"Hi Phil, This is Dan Libby, author of videntity. (I’m too lazy to sign in without openid.)

Great post. Even a screenshot. very nice.

I don’t know why it didn’t work for you signing in to Sam Ruby’s blog. I’ll check it out in a bit."
1045,2007-01-30T08:52:00+00:00,Anonymous,,,comment,0,"Just for the record, sign in to Sam’s page is working after all."
1046,2007-01-30T11:38:00+00:00,"Phil Wilson",,,comment,0,"Hi Dan, yes it seems to be working now, but I’m pretty sure that I tried on Jan 4th and it didn’t work then (see <http://flickr.com/photos/pip/345310661/>).

Great work on the import though, looks good."
